ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20315,2025/26,25,Barcelona,Eric García,Defensa,14.0,25,ES,70%,Lesionado/Duda,24,1,1,0,3,0,1.8,126,5.3,3,9,5
20315,2025/26,25,Levante,Etta Eyong,Delantero,13.0,22,CM,60%,Sano,19,5,1,0,2,0,0.8,105,4.8,2,2,1
20315,2025/26,25,Barcelona,F. de Jong,Mediocampista,17.0,28,NL,90%,Sano,18,0,4,0,6,1,1.4,104,5.8,2,0,12
20313,2025/26,25,Elche,Febas,Mediocampista,15.0,30,ES,95%,Sano,23,2,1,0,6,0,2,124,5.4,9,0,0
20315,2025/26,25,Barcelona,Fermín,Mediocampista,16.0,22,ES,80%,Sano,18,4,5,0,2,0,1.3,125,6.9,1,12,5
20315,2025/26,25,Barcelona,Ferran,Delantero,20.0,25,ES,50%,Sano,22,12,1,0,2,0,1.1,144,6.5,3,1,11
20320,2025/26,25,Betis,Fornals,Mediocampista,25.0,29,ES,90%,Sano,24,6,4,0,1,0,1.8,183,7.6,9,6,9
20313,2025/26,25,Elche,Fort,Defensa,8.0,19,ES,0%,Lesionado/Duda,9,1,2,0,0,0,-1,36,4,0,0,0
20314,2025/26,25,Espanyol,Fortuño,Portero,1.0,24,ES,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20321,2025/26,25,Real Oviedo,Forés,Delantero,4.0,24,ES,10%,Sano,13,0,1,0,0,0,1,26,2,2,0,0
20322,2025/26,25,Valencia,Foulquier,Defensa,9.0,32,GP,0%,Lesionado/Duda,15,0,0,0,1,0,2,44,2.9,0,0,0
20322,2025/26,25,Villarreal,Foyth,Defensa,10.0,28,AR,0%,Lesionado/Duda,13,0,0,0,2,0,-1,63,4.8,0,0,0
20321,2025/26,25,Real Sociedad,Fraga,Portero,1.0,22,ES,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20319,2025/26,25,Real Madrid,Fran García,Defensa,6.0,26,ES,20%,Sano,7,1,0,0,2,1,-1,26,3.7,0,0,0
20320,2025/26,25,Rayo,Fran Pérez,Mediocampista,8.0,23,ES,50%,Sano,19,2,0,0,2,0,2,74,3.9,13,0,0
20317,2025/26,25,Girona,Francés,Defensa,5.0,23,ES,20%,Sano,14,0,0,0,1,1,1,32,2.3,2,2,0
20317,2025/26,25,Alavés,Garcés,Defensa,9.0,26,MY,80%,Sano,9,0,0,0,3,0,0.8,43,4.8,4,3,4
20315,2025/26,25,Barcelona,Gavi,Mediocampista,5.0,21,ES,0%,Lesionado/Duda,2,0,1,0,0,0,-1,8,4,0,0,0
20322,2025/26,25,Valencia,Gayà,Defensa,11.0,30,ES,90%,Sano,20,1,1,0,5,1,1,76,3.8,8,-1,4
20317,2025/26,25,Girona,Gazzaniga,Portero,15.0,34,AR,95%,Sano,21,0,0,0,4,1,1.6,112,5.3,9,5,0
20322,2025/26,25,Villarreal,Gerard,Delantero,13.0,33,ES,0%,Lesionado/Duda,12,7,0,0,0,0,-1,94,7.8,0,0,0
20314,2025/26,25,Atlético,Giménez,Defensa,10.0,31,UY,70%,Sano,10,0,0,0,3,0,1,56,5.6,3,6,0
20314,2025/26,25,Atlético,Giuliano,Delantero,17.0,23,AR,50%,Sano,21,2,5,0,1,0,0.5,125,6,0,2,0
20319,2025/26,25,Real Madrid,Gonzalo,Delantero,6.0,21,ES,50%,Sano,19,4,0,0,1,0,1.4,58,3.1,9,4,2
20314,2025/26,25,Atlético,González,Mediocampista,10.0,27,AR,0%,Lesionado/Duda,18,1,0,0,3,0,0.4,82,4.6,2,0,7
20313,2025/26,25,Athletic,Gorosabel,Defensa,7.0,29,ES,70%,Sano,13,0,1,0,2,0,1.2,34,2.6,8,1,2
20321,2025/26,25,Real Sociedad,Gorrotxategi,Mediocampista,11.0,24,ES,80%,Sano,22,1,3,0,5,0,1.3,101,4.6,2,10,8
20314,2025/26,25,Atlético,Griezmann,Delantero,9.0,34,FR,40%,Sano,21,6,0,0,0,0,1,101,4.8,0,6,0
20318,2025/26,25,Sevilla,Gudelj,Mediocampista,11.0,34,RS,80%,Sano,20,1,0,0,6,0,1,78,3.9,2,6,0
20321,2025/26,25,Real Sociedad,Guedes,Mediocampista,16.0,29,PT,90%,Sano,24,6,3,0,1,0,1.7,138,5.8,3,7,15
20317,2025/26,25,Alavés,Guevara,Mediocampista,6.0,28,ES,40%,Sano,16,1,0,0,2,0,1.8,45,2.8,3,0,3
20320,2025/26,25,Rayo,Gumbau,Mediocampista,5.0,31,ES,50%,Sano,16,0,1,0,3,0,1.3,36,2.3,8,0,0
20317,2025/26,25,Alavés,Guridi,Mediocampista,5.0,30,ES,20%,Sano,16,0,0,0,0,0,1.2,31,1.9,2,0,2
20313,2025/26,25,Athletic,Guruzeta,Delantero,11.0,29,ES,80%,Sano,21,4,1,0,4,1,1.5,88,4.2,1,16,4
20319,2025/26,25,Real Madrid,Güler,Mediocampista,24.0,20,TR,60%,Sano,24,3,7,0,1,0,1.4,179,7.5,5,6,7
20314,2025/26,25,Atlético,Hancko,Defensa,13.0,28,SK,50%,Sano,23,0,2,0,0,0,1.3,116,5,0,4,4
20321,2025/26,25,Real Oviedo,Hassan,Mediocampista,10.0,24,FR,50%,Sano,22,0,2,0,1,0,1.3,84,3.8,3,5,3
20319,2025/26,25,Osasuna,Herrando,Defensa,9.0,24,ES,95%,Sano,20,0,1,0,2,0,1,63,3.2,8,1,2
20319,2025/26,25,Osasuna,Herrera,Defensa,9.0,32,ES,95%,Sano,24,0,0,0,2,0,2.4,166,6.9,11,6,2
20321,2025/26,25,Real Sociedad,Herrera,Mediocampista,3.0,28,VE,40%,Sano,4,0,0,0,1,0,1.1,7,1.2,2,2,0
20316,2025/26,25,Celta,Hugo Álvarez,Mediocampista,7.0,22,ES,50%,Sano,15,2,1,0,2,0,1.8,54,3.6,0,3,2
20319,2025/26,25,Real Madrid,Huijsen,Defensa,19.0,20,ES,70%,Sano,18,1,2,0,4,1,0.9,113,6.3,0,15,4
20313,2025/26,25,Athletic,I. Williams,Delantero,10.0,31,GH,90%,Sano,16,1,2,0,1,0,1.3,65,4.1,3,14,1
20317,2025/26,25,Alavés,Ibáñez,Mediocampista,11.0,27,ES,70%,Sano,24,1,1,0,4,0,1.3,97,4,4,1,6
20316,2025/26,25,Celta,Iglesias,Delantero,16.0,33,ES,40%,Sano,22,10,2,0,4,0,1.8,126,5.7,9,9,3
20318,2025/26,25,Getafe,Iglesias,Defensa,11.0,27,ES,90%,Sano,23,1,2,0,2,0,1.4,95,4.1,10,5,8
20319,2025/26,25,Osasuna,Iker Muñoz,Mediocampista,6.0,23,ES,40%,Sano,10,0,0,0,3,0,1.2,30,3,5,5,0
20320,2025/26,25,Betis,Isco,Mediocampista,11.0,33,ES,0%,Lesionado/Duda,1,0,1,0,0,0,-1,10,10,0,0,0
20320,2025/26,25,Rayo,Isi,Delantero,11.0,31,ES,80%,Sano,22,2,3,0,7,0,1.8,99,4.5,5,1,10
20313,2025/26,25,Elche,Iturbe,Portero,1.0,22,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20317,2025/26,25,Girona,Iván Martín,Mediocampista,12.0,27,ES,90%,Sano,22,0,1,0,5,1,1.6,104,4.7,4,5,7
20315,2025/26,25,Levante,Iván Romero,Delantero,11.0,24,ES,70%,Sano,20,4,1,0,3,0,1.2,89,4.5,0,2,4
20316,2025/26,25,Celta,Iván Villar,Portero,1.0,28,ES,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
