Equipo,FutFantasy,SofaScore
Real Betis,vitor roque,vitor roque
Real Betis,lo celso,giovani lo celso
Getafe,yildirim,bertug yıldırım
Barcelona,sergi dominguez,sergi dominguez
Barcelona,pablo torre,pablo torre
Real Valladolid,ozkacar,cenk ozkacar
Atlético Madrid,musso,juan musso
Atlético Madrid,giuliano,giuliano simeone
Mallorca,navarro,robert navarro
Villarreal,bernat,juan bernat
Osasuna,boyomo,flavien boyomo
Sevilla,idumbo m.,stanis idumbo muzambo
Sevilla,barco,valentin barco
Girona FC,danjuma,arnaut danjuma
Getafe,patrick finn,john patrick
Real Sociedad,oskarsson,orri steinn oskarsson
Leganés,haller,sebastien haller
Leganés,nastasic,matija nastasic
Mallorca,valery,valery fernandez
Deportivo Alavés,jordan,joan jordan
Deportivo Alavés,mourino,santiago mourino
Sevilla,montiel,gonzalo montiel
Getafe,berrocal,juan berrocal
Real Sociedad,aguerd,nayef aguerd
Celta Vigo,m. alonso,marcos alonso
Real Valladolid,kenedy,kenedy
Las Palmas,fabio silva,fabio silva
Valencia,barrenechea,enzo barrenechea
Valencia,valera,german valera
Rayo Vallecano,guardiola,sergi guardiola
Rayo Vallecano,james,james rodriguez
Rayo Vallecano,batalla,augusto batalla
Real Valladolid,juma bah,abdulay juma bah
Las Palmas,januzaj,adnan januzaj
Las Palmas,essugo,dario essugo
Leganés,dmitrovic,marko dmitrovic
Mallorca,chiquinho,chiquinho
Athletic Club,nunez,unai nunez
Real Madrid,vallejo,jesus vallejo
Getafe,keita,abdoulaye keita
Espanyol,unuvar,naci unuvar
Villarreal,pau navarro,pau navarro
Real Valladolid,chasco,raul chasco
Real Valladolid,maroto,mario maroto
Getafe,alvaro r.,alvaro rodriguez
Athletic Club,canales,peio canales
Sevilla,mejia,mateo mejia
Villarreal,cabanes,pau cabanes
Las Palmas,horkas,dinko horkas
Real Valladolid,anuar,anuar
Atlético Madrid,lenglet,clement lenglet
Athletic Club,serrano,nico serrano
Real Betis,flores,mateo flores
Girona FC,min su,min-su kim
Getafe,nyom,allan nyom
Valencia,ro abajas,rodrigo abajas
Sevilla,alvaro,alvaro fernandez
Girona FC,papa ba,papa ba
Getafe,arguelles,david arguelles
Valencia,caufriez,maximiliano caufriez
Mallorca,luna,daniel luna
Espanyol,smith,justin smith
Espanyol,bauza,rafael bauza
Sevilla,isra,isra dominguez
Villarreal,ojeda,thiago ojeda
Villarreal,luiz junior,luiz junior
Valencia,dimitrievski,stole dimitrievski
Real Madrid,asencio,raul asencio
Girona FC,ferran,ferran ruiz
Valencia,cordoba,iker cordoba
Real Betis,guirao,carlos guirao
Mallorca,morey,mateu morey
Getafe,coba,coba da costa
Real Betis,jesus,jesus rodriguez
Celta Vigo,fer lopez,fer lopez
Real Madrid,yanez,daniel yanez
Sevilla,dario,dario benavides
Sevilla,garcia pascual,alvaro garcia-pascual
Real Valladolid,arnu,adrian arnu
Espanyol,edu exposito,edu exposito
Sevilla,vargas,ruben vargas
Valencia,sadiq,umar sadiq
Espanyol,roberto,roberto fernandez
Atlético Madrid,nino,adrian nino
Real Betis,adrian,adrian
Getafe,bekhoucha,ismael bekhoucha
Real Madrid,lorenzo,lorenzo aguado
Real Madrid,chema,chema andres
Las Palmas,pelmard,andy pelmard
Real Betis,pablo garcia,pablo garcia
Real Betis,arribas,sergio arribas
Real Betis,ortiz,angel ortiz
Sevilla,antonetti,leandro antonetti
Espanyol,urko,urko gonzalez
Girona FC,pau lopez,pau lopez
Barcelona,szczesny,wojciech szczesny
Valencia,aarons,max aarons
Getafe,juanmi,juanmi
Sevilla,adams,akor adams
Real Valladolid,nikitscher,tamas nikitscher
Mallorca,salas,jan salas
Celta Vigo,losada,iker losada
Real Betis,antony,antony
Las Palmas,bajcetic,stefan bajcetic
Real Valladolid,grillitsch,florian grillitsch
Real Valladolid,aznou,adam aznou
Real Valladolid,aidoo,joseph aidoo
Real Valladolid,candela,antonio candela
Athletic Club,sannadi,maroan sannadi
Athletic Club,bujan,endika bujan
Villarreal,buchanan,tajon buchanan
Deportivo Alavés,cabanes,pau cabanes
Getafe,terrats,ramon terrats
Getafe,bernat,juan bernat
Valencia,ivan jaime,ivan jaime
Leganés,duk,duk
Leganés,barisic,borna barisic
Girona FC,arthur,arthur
Deportivo Alavés,alena,carles alena
Sevilla,ramon,ramon martinez
Real Betis,cucho,cucho hernandez
Rayo Vallecano,eto'o,etienne eto'o pineda
Las Palmas,pezzolesi,valentin pezzolesi
Real Sociedad,beitia,luken beitia
Real Sociedad,mariezkurrena,arkaitz mariezkurrena
Deportivo Alavés,garces,facundo garces
Espanyol,hinojo,roger hinojo
Deportivo Alavés,adrian,adrian rodriguez
Real Sociedad,dani diaz,dani diaz
Real Valladolid,rafus,arnau rafus
Rayo Vallecano,pelayo,pelayo fernandez
Leganés,diomande,yan diomande
Mallorca,david lopez,david lopez
Real Madrid,fran gonzalez,fran gonzalez
Real Valladolid,henrique,henrique
Real Valladolid,ferreira,andre ferreira
Villarreal,sola,arnau sola
Villarreal,etta eyong,etta eyong
Barcelona,dani rodriguez,dani rodriguez
Real Madrid,jacobo,jacobo ramon
Real Madrid,victor munoz,victor munoz
Real Valladolid,alani,ibrahim alani
Real Valladolid,parente,iago parente
Real Betis,mendy,nobel mendy
Las Palmas,diego martin,diego martin
Girona FC,krapyvtsov,vladyslav krapyvtsov
Real Valladolid,xavi moreno,xavi moreno
Las Palmas,arturo,arturo rodriguez
Las Palmas,josito,jose carlo gonzalez
Villarreal,requena,dani requena
Girona FC,rincon,hugo rincon
Girona FC,vitor reis,vitor reis
Girona FC,lemar,thomas lemar
Girona FC,roca,joel roca
Rayo Vallecano,luiz felipe,luiz felipe
Villarreal,moleiro,alberto moleiro
Villarreal,thomas,thomas partey
Villarreal,rafa marin,rafa marin
Villarreal,mourino,santiago mourino
Real Oviedo,marco esteban,marco esteban
Real Oviedo,cazorla,santi cazorla
Real Oviedo,borja sanchez,borja sanchez
Real Oviedo,falah,omar falah
Real Oviedo,vinas,federico vinas
Real Oviedo,hassan,haissem hassan
Real Oviedo,rondon,salomon rondon
Real Oviedo,chaira,ilyas chaira
Real Oviedo,reina,alberto reina
Real Oviedo,sibo,kwasi sibo
Real Oviedo,calvo,dani calvo
Real Oviedo,luengo,oier luengo
Real Oviedo,nacho vidal,nacho vidal
Real Oviedo,l. ilic,luka ilic
Real Oviedo,aaron,aaron escandell
Real Oviedo,alhassane,abdel rahim
Mallorca,joseph,mateo joseph
Mallorca,pablo torre,pablo torre
Barcelona,torrents,jofre torrents
Barcelona,joan garcia,joan garcia
Barcelona,rashford,marcus rashford
Deportivo Alavés,mariano,mariano diaz
Deportivo Alavés,calebe,calebe goncalves
Deportivo Alavés,ibanez,pablo ibanez
Deportivo Alavés,youssef,youssef enriquez lekhedim
Deportivo Alavés,jonny,jonny otto
Levante UD,moreno,matias moreno
Levante UD,morales,jose luis morales
Levante UD,lozano,sergio lozano
Levante UD,victor garcia,victor garcia
Levante UD,ivan romero,ivan romero
Levante UD,pablo martinez,pablo martinez
Levante UD,pampin,diego pampin
Levante UD,oriol rey,oriol rey
Levante UD,c. alvarez,carlos alvarez
Levante UD,elgezabal,unai elgezabal
Levante UD,jorge cabello,jorge cabello
Levante UD,de la fuente,adrian de la fuente
Levante UD,brugui,roger brugue
Levante UD,toljan,jeremy toljan
Levante UD,manu sanchez,manuel sanchez
Levante UD,cunat campos,pablo cunat
Valencia,ugrinic,filip ugrinic
Valencia,santamaria,baptiste santamaria
Valencia,danjuma,arnaut danjuma
Valencia,copete,jose copete
Valencia,raba,dani raba
Valencia,agirrezabala,julen agirrezabala
Real Sociedad,guedes,goncalo guedes
Real Sociedad,caleta-car,duje caleta-car
Celta Vigo,el-abdellaoui,jones el-abdellaoui
Celta Vigo,bryan,bryan zaragoza
Celta Vigo,jutgla,ferran jutgla
Celta Vigo,radu,ionut radu
Getafe,davinchi,davinchi
Getafe,mario martin,mario martin
Getafe,liso,adrian liso
Athletic Club,navarro,robert navarro
Athletic Club,rego,alejandro rego
Athletic Club,areso,jesus areso
Sevilla,castrin,andres castrin
Espanyol,miguel rubio,miguel rubio
Espanyol,dolan,tyrhys dolan
Espanyol,terrats,ramon terrats
Espanyol,salinas,jose salinas
Espanyol,kike garcia,kike garcia
Espanyol,dmitrovic,marko dmitrovic
Atlético Madrid,cardoso,johnny cardoso
Atlético Madrid,raspadori,giacomo raspadori
Atlético Madrid,almada,thiago almada
Atlético Madrid,baena,alejandro baena
Atlético Madrid,ruggeri,matteo ruggeri
Atlético Madrid,hancko,david hancko
Elche,rafa mir,rafa mir
Elche,aguado,marc aguado
Elche,martim neto,martim neto
Elche,valera,german valera
Elche,febas,aleix febas
Elche,mourad,mourad el ghezouani
Elche,affengruber,david affengruber
Elche,mendoza,rodrigo mendoza
Elche,petrot,leo petrot
Elche,bigas,pedro bigas
Elche,ali houary,ali houary
Elche,dituro,matias dituro
Elche,jairo i.,jairo izquierdo
Elche,alvaro r.,alvaro rodriguez
Elche,a. nunez,alvaro nunez
Elche,john c.,john donald
Real Betis,riquelme,rodrigo riquelme
Real Betis,pau lopez,pau lopez
Real Madrid,alexander-arnold,trent alexander-arnold
Real Madrid,mastantuono,franco mastantuono
Real Madrid,huijsen,dean huijsen
Real Madrid,a. f. carreras,alvaro carreras
Osasuna,victor munoz,victor munoz
Osasuna,rosier,valentin rosier
Real Betis,valentin gomez,valentin gomez
Real Betis,junior,junior firpo
Deportivo Alavés,pinillos,lander pinillos
Mallorca,kumbulla,marash kumbulla
Celta Vigo,manu fernandez,manu fernandez
Elche,andre silva,andre silva
Elche,redondo,federico redondo
Elche,chust,victor chust
Levante UD,carlos espi,carlos espi
Levante UD,losada,iker losada
Real Sociedad,gorrotxategi,jon gorrotxategi
Villarreal,veiga,renato veiga
Girona FC,dawda,dawda camara
Girona FC,alex moreno,alex moreno
Real Oviedo,brekalo,josip brekalo
Real Oviedo,ejaria,ovie ejaria
Real Oviedo,costas,david costas
Real Oviedo,dendoncker,leander dendoncker
Rayo Vallecano,fran perez,fran perez
Levante UD,olasagasti,jon ander olasagasti
Levante UD,ryan,mathew ryan
Valencia,ramazani,largie ramazani
Deportivo Alavés,denis suarez,denis suarez
Real Sociedad,karrikaburu,jon karrikaburu
Girona FC,witsel,axel witsel
Sevilla,suazo,gabriel suazo
Sevilla,alfon,alfon gonzalez
Mallorca,virgili,jan virgili
Celta Vigo,roman,miguel roman
Villarreal,oluwaseyi,tani oluwaseyi
Real Betis,deossa,nelson deossa
Real Betis,valles,alvaro valles
Espanyol,koleosho,luca koleosho
Sevilla,alexis,alexis sanchez
Sevilla,azpilicueta,cesar azpilicueta
Sevilla,mendy,batista mendy
Elche,fort,hector fort
Elche,pedrosa,adria pedrosa
Getafe,kamara,abu kamara
Getafe,femenia,kiko femenia
Getafe,neyou,yvan neyou
Getafe,abqar,abdelkabir abqar
Real Oviedo,colombatto,santiago colombatto
Real Oviedo,fores,alex fores
Real Oviedo,carmo,david carmo
Real Oviedo,javi lopez,javi lopez
Real Oviedo,ahijado,lucas ahijado
Real Sociedad,goti,mikel goti
Real Sociedad,carlos soler,carlos soler
Athletic Club,izeta,urko izeta
Deportivo Alavés,pacheco,jon pacheco
Deportivo Alavés,boye,lucas boye
Atlético Madrid,pubill,marc pubill
Atlético Madrid,gonzalez,nicolas gonzalez
Villarreal,mikautadze,georges mikautadze
Girona FC,vanat,vladyslav vanat
Girona FC,ounahi,azzedine ounahi
Levante UD,koyalipou,goduine koyalipou
Levante UD,arriaga,kervin arriaga
Levante UD,etta eyong,etta eyong
Real Betis,s. amrabat,sofyan amrabat
Rayo Vallecano,alemao,alemao
Rayo Vallecano,becerra,samu becerra
Rayo Vallecano,vertrouwd,jozhua vertrouwd
Barcelona,bardghji,roony bardghji
Valencia,beltran,lucas beltran
Espanyol,pickel,charles pickel
Espanyol,ruben sanchez,ruben sanchez
Levante UD,vencedor,unai vencedor
Sevilla,vlachodimos,odysseas vlachodimos
Villarreal,solomon,manor solomon
Osasuna,becker,sheraldo becker
Athletic Club,laporte,aymeric laporte
Elche,diangana,grady diangana
Elche,josan,josan
Elche,bambo,bambo diaby
Elche,pena,inaki pena
Getafe,sancris,alex sancris
Getafe,javi munoz,javier munoz
Real Betis,dani perez,dani perez
Girona FC,lass,lass kourouma
Espanyol,riedel,clemens riedel
Villarreal,tenas,arnau tenas
Real Oviedo,bailly,eric bailly
Sevilla,cardoso,fabio cardoso
Barcelona,dro fernandez,dro fernandez
Elche,adam boayar,adam boayar
Barcelona,toni fernandez,toni fernandez
Real Sociedad,herrera,yangel herrera
Rayo Vallecano,mendy,nobel mendy
Valencia,comert,eray comert
Levante UD,matturro,alan matturro
Elche,santiago,yago santiago
Mallorca,bergstrom,lucas bergstrom
Real Oviedo,agudin,pablo agudin
Deportivo Alavés,morcillo,diego morcillo
Athletic Club,selton,selton sanchez
Real Sociedad,carrera,gorka  carrera zarranz
Sevilla,sierra,miguel sierra
Villarreal,carlos macia,carlos macia
Getafe,solozabal,hugo solozabal
Girona FC,arango,juan arango
Sevilla,oso,oso
Real Madrid,valdepenas,victor valdepenas
Levante UD,cortes,paco cortes
Levante UD,raghouber,ugo raghouber
Levante UD,tunde,kareem tunde
Villarreal,freeman,alexander freeman
Real Sociedad,astiazaran,lander astiazaran
Deportivo Alavés,aitor manas,aitor manas
Real Madrid,jimenez,david jimenez
Getafe,mestanza,alejandro mestanza
Getafe,joselu,jose luis perez
Osasuna,galan,javi galan
Real Oviedo,fonseca,nicolas fonseca
Getafe,montes,jorge montes
Real Oviedo,borbas,thiago borbas
Rayo Vallecano,carlos martin,carlos martin
Getafe,satriano,martin satriano
Celta Vigo,burcio,hugo burcio
Elche,alex sanchez,alex sanchez
Rayo Vallecano,akhomach,ilias akhomach
Athletic Club,hierro,asier hierro
Real Betis,corralejo,ivan corralejo
Girona FC,echeverri,claudio echeverri
Girona FC,beltran,fran beltran
Girona FC,ter stegen,marc-andre ter stegen
Getafe,boselli,sebastian boselli
Getafe,luis vazquez,luis vazquez
Getafe,romero,zaid romero
Real Oviedo,thiago,thiago fernandez
Osasuna,raul moro,raul moro
Levante UD,abed,tai abed
Atlético Madrid,monserrate,jano monserrate
Elche,cepeda,lucas cepeda
Real Sociedad,wesley,wesley
Sevilla,maupay,neal maupay
Barcelona,marques,tomas marques
Real Sociedad,ochieng,job ochieng
Elche,villar,gonzalo villar
Deportivo Alavés,angel perez,angel perez
Atlético Madrid,vargas,obed vargas
Atlético Madrid,mendoza,rodrigo mendoza
Atlético Madrid,lookman,ademola lookman
Real Betis,fidalgo,alvaro fidalgo
Valencia,guido,guido rodriguez
Valencia,nunez,unai nunez
Real Madrid,cestero,jorge cestero
Villarreal,hugo lopez,hugo lopez
Espanyol,ngonge,cyril ngonge
Elche,tete morente,tete morente
Celta Vigo,vecino,matias vecino
Levante UD,nacho perez,nacho perez
Mallorca,luvumbo,zito luvumbo
Athletic Club,eder garcia,eder garcia
Elche,sangare,buba sangare
Getafe,birmancevic,veljko birmancevic
Villarreal,alfon,alfon gonzalez
Atlético Madrid,julio diaz,julio diaz
Celta Vigo,antanon,andres antanon
Real Madrid,thiago,thiago pitarch
Real Madrid,palacios,cesar palacios
Real Madrid,manuel angel,manuel angel moran
Deportivo Alavés,ballestero,carlos ballestero
Deportivo Alavés,koski,ville koski
Real Madrid,d. aguado,diego aguado
Mallorca,kalumba,justin-noel kalumba
Barcelona,espart,xavi espart
Celta Vigo,a. nunez,alvaro nunez
Las Palmas,sergio ruiz,sergio vieira
Deportivo Alavés,diabate,ibrahim diabate
Real Sociedad,aguirre,ibai aguirre
Atlético Madrid,morcillo,javi morcillo
Atlético Madrid,taufik,taufik seidu
