Equipo,FutFantasy,SofaScore
Villarreal,ben brereton,ben brereton diaz
Villarreal,akhomach,ilias akhomach
Valencia,hugo gonzalez,hugo gonzalez
Las Palmas,pejino,pejino
Las Palmas,marmol,mika marmol
Las Palmas,benito,benito ramirez
Las Palmas,j. araujo,julian araujo
Real Sociedad,pacheco,jon pacheco
Celta Vigo,dotor,carlos dotor
Celta Vigo,starfelt,carl starfelt
Almería,puigmal,arnau puigmal
Almería,chumi,chumi
Almería,kone,ibrahima kone
Almería,luis maximiano,luis maximiano
Real Madrid,brahim,brahim diaz
Real Madrid,lucas,lucas vazquez
Osasuna,raul garcia,raul garcia de haro
Osasuna,aitor,aitor fernandez
Athletic Club,raul garcia,raul garcia
Athletic Club,prados,benat prados
Girona FC,selvi,selvi clua
Getafe,gorka,gorka rivera
Getafe,santi,santi garcia
Barcelona,ferran,ferran torres
Barcelona,eric garcia,eric garcia
Barcelona,s. roberto,sergi roberto
Cádiz,jose mari,jose mari
Cádiz,negredo,alvaro negredo
Cádiz,osmajic,milutin osmajic
Real Betis,juan cruz,juan cruz
Atlético Madrid,riquelme,rodrigo riquelme
Atlético Madrid,witsel,axel witsel
Atlético Madrid,samuel lino,samuel lino
Deportivo Alavés,alkain,xeber alkain
Sevilla,rafa mir,rafa mir
Sevilla,pedrosa,adria pedrosa
Sevilla,jordan,joan jordan
Sevilla,kike salas,kike salas
Sevilla,dmitrovic,marko dmitrovic
Sevilla,tecatito,jesus corona
Granada,perea,alberto perea
Granada,f. diedhiou,famara diedhiou
Rayo Vallecano,bebe,bebe
Rayo Vallecano,mumin,abdul mumin
Rayo Vallecano,de tomas,raul de tomas
Rayo Vallecano,de frutos,jorge de frutos
Las Palmas,kaba,sory kaba
Real Sociedad,merino,mikel merino
Real Sociedad,zakharyan,arsen zakharyan
Celta Vigo,tapia,renato tapia
Real Madrid,kepa,kepa arrizabalaga
Real Madrid,nacho,nacho fernandez
Cádiz,maxi gomez,maximiliano gomez
Almería,kaiky,kaiky
Almería,baptistao,leo baptistao
Granada,victor diaz,victor diaz
Granada,soro,alberto soro
Granada,raul f.,raul fernandez
Mallorca,abdon,abdon prats
Mallorca,lato,toni lato
Girona FC,juanpe,juanpe
Barcelona,fermin,fermin lopez
Barcelona,m. alonso,marcos alonso
Valencia,mosquera,cristhian mosquera
Valencia,canos,sergi canos
Osasuna,kike barja,kike barja
Osasuna,nacho vidal,nacho vidal
Osasuna,juan cruz,juan cruz
Athletic Club,villalibre,asier villalibre
Athletic Club,dani garcia,dani garcia
Athletic Club,yuri,yuri berchiche
Real Betis,miranda,juan miranda
Getafe,angileri,fabrizio angileri
Getafe,alderete,omar alderete
Deportivo Alavés,owono,samu aghehowa
Rayo Vallecano,camello,sergio camello
Atlético Madrid,molina,nahuel molina
Villarreal,femenia,kiko femenia
Villarreal,yeremi,yeremy pino
Celta Vigo,douvikas,anastasios douvikas
Celta Vigo,dominguez,carlos dominguez
Real Sociedad,tierney,kieran tierney
Granada,boye,lucas boye
Granada,miki bosch,adria bosch
Getafe,arambarri,mauro arambarri
Getafe,carmona,jose angel carmona
Deportivo Alavés,alex sola,alex sola
Deportivo Alavés,tenaglia,nahuel tenaglia
Deportivo Alavés,hagi,ianis hagi
Valencia,amallah,selim amallah
Valencia,mario,mario dominguez
Real Betis,altimira,sergi altimira
Real Betis,bellerin,hector bellerin
Rayo Vallecano,kike perez,kike perez
Girona FC,portu,portu
Las Palmas,perrone,maximo perrone
Mallorca,van der heyden,siebe van der heyden
Osasuna,herrando,jorge herrando
Barcelona,joao felix,joao felix
Barcelona,cancelo,joao cancelo
Barcelona,inigo,inigo martinez
Atlético Madrid,reinildo,reinildo mandava
Atlético Madrid,gimenez,jose maria gimenez
Sevilla,januzaj,adnan januzaj
Sevilla,soumare,boubakary soumare
Sevilla,ramos,sergio ramos
Deportivo Alavés,karrikaburu,jon karrikaburu
Athletic Club,yeray,yeray alvarez
Cádiz,navarro,robert navarro
Valencia,guillamon,hugo guillamon
Valencia,tarrega,cesar tarrega
Atlético Madrid,galan,javi galan
Celta Vigo,ristic,mihailo ristic
Mallorca,antonio,antonio sanchez
Mallorca,nastasic,matija nastasic
Real Betis,vieites,francisco vieites
Real Betis,abde,abdessamad ezzalzouli
Real Betis,chadi riad,chadi riad
Real Betis,bartra,marc bartra
Getafe,greenwood,mason greenwood
Getafe,oscar,oscar rodriguez
Getafe,diego rico,diego rico
Villarreal,romero,carlos romero
Almería,montes,cesar montes
Sevilla,lukebakio,dodi lukebakio
Las Palmas,marvin,marvin park
Granada,torrente,raul torrente
Granada,a. f. carreras,alvaro carreras
Girona FC,eric garcia,eric garcia
Sevilla,nyland,ørjan nyland
Real Sociedad,urko,urko gonzalez
Villarreal,trigueros,manu trigueros
Real Betis,bravo,claudio bravo
Cádiz,kouame,rominigue kouame
Las Palmas,cristian h.,cristian herrera
Real Madrid,mendy,ferland mendy
Almería,mendes,houboulang mendes
Almería,centelles,alex centelles
Girona FC,solis,jhon solis
Real Madrid,ceballos,dani ceballos
Las Palmas,curbelo,eric curbelo
Cádiz,guardiola,sergi guardiola
Valencia,yaremchuk,roman yaremchuk
Real Sociedad,odriozola,alvaro odriozola
Real Sociedad,aritz,aritz elustondo
Granada,weissman,shon weissman
Real Betis,carvalho,william carvalho
Real Betis,assane,assane diao
Sevilla,mariano,mariano diaz
Real Sociedad,andre silva,andre silva
Cádiz,zaldua,joseba zaldua
Cádiz,momo,mamadou mbaye
Almería,marciano,marciano sanca tchami
Girona FC,kebe,ibrahima kebe
Valencia,yarek,yarek gasiorowski
Real Betis,visus,ricardo visus
Celta Vigo,kevin,kevin vazquez
Celta Vigo,guaita,vicente guaita
Las Palmas,moleiro,alberto moleiro
Almería,fernando,fernando martinez
Villarreal,altimira,adria altimira
Barcelona,marc guiu,marc guiu
Athletic Club,ares,malcom ares
Getafe,luis milla,luis milla
Real Betis,fekir,nabil fekir
Granada,manafa,wilson manafa
Villarreal,jorge pascual,jorge pascual
Rayo Vallecano,ratiu,andrei ratiu
Cádiz,chust,victor chust
Real Madrid,nico paz,nico paz
Deportivo Alavés,mendes,tomas mendes
Cádiz,ocampo,brian ocampo
Cádiz,david gil,david gil
Barcelona,pena,inaki pena
Sevilla,nianzou,tanguy nianzou
Real Madrid,gonzalo,gonzalo garcia
Athletic Club,nolaskoain,peru nolaskoain
Almería,rachad,rachad fettal
Real Betis,sokratis,sokratis papastathopoulos
Villarreal,coquelin,francis coquelin
Cádiz,moussa,moussa diakite
Getafe,jordi martin,jordi martin
Deportivo Alavés,ropero,unai ropero
Osasuna,unai garcia,unai garcia
Rayo Vallecano,pozo,jose pozo
Athletic Club,jauregizar,mikel jauregizar
Valencia,alberto mari,alberto mari
Real Sociedad,magunazelaia,jon magunazelaia
Sevilla,marcao,marcao
Sevilla,manu bueno,manu bueno
Getafe,enes unal,enes unal
Real Sociedad,marrero,unai marrero
Deportivo Alavés,giuliano,giuliano simeone
Deportivo Alavés,carlos vicente,carlos vicente
Villarreal,bailly,eric bailly
Granada,arezo,matias arezo
Granada,bruno mendez,bruno mendez
Granada,batalla,augusto batalla
Celta Vigo,hugo alvarez,hugo alvarez
Barcelona,vitor roque,vitor roque
Sevilla,romero,isaac romero
Deportivo Alavés,parada,victor parada
Deportivo Alavés,omorodion,samu aghehowa
