Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
Gorrotxa,10.0,Real Sociedad,Mediocampista,108
Grady Diangana D,6.0,Elche,Delantero,36
Griezmann,9.0,Atlético,Delantero,118
Guedes,18.0,Real Sociedad,Mediocampista,168
Guevara,6.0,Alavés,Mediocampista,47
Gueye,17.0,Villarreal,Mediocampista,126
Guille Fernández,1.0,Barcelona,Mediocampista,0
Gumbau,6.0,Rayo,Mediocampista,47
Guridi,6.0,Alavés,Mediocampista,36
Guruzeta,10.0,Athletic,Delantero,107
H.González,1.0,Celta,Mediocampista,0
H. Rincón,9.0,Girona,Defensa,73
Hancko,12.0,Atlético,Defensa,122
Hassan,10.0,Real Oviedo,Mediocampista,106
Herrando,9.0,Osasuna,Defensa,76
Herrera,4.0,Real Sociedad,Mediocampista,10
Hugo Alvarez,8.0,Celta,Mediocampista,68
Hugo Duro,10.0,Valencia,Delantero,105
Hugo Lopez,3.0,Villarreal,Mediocampista,3
Hugo Sotelo,9.0,Celta,Mediocampista,68
Huijsen,19.0,Real Madrid,Defensa,125
Huseini,1.0,Levante,Defensa,0
Héctor Fort,7.0,Elche,Defensa,36
I. Akhomach,6.0,Rayo,Delantero,48
Benito,5.0,Osasuna,Delantero,19
Lekue,4.0,Athletic,Defensa,13
Romero D,10.0,Levante,Delantero,109
lago Aspas DE,9.0,Celta,Delantero,110
Ibañez,10.0,Alavés,Mediocampista,107
Ibon Sánchez DE,0.2,Athletic,Delantero,0
Iker Losada DE,7.0,Levante,Delantero,55
Iker Muñoz,0.25,Sevilla,Defensa,0
Iker Muñoz,6.0,Osasuna,Mediocampista,33
Ilaix Moriba,9.0,Celta,Mediocampista,87
Ilic,6.0,Real Oviedo,Mediocampista,39
Ilyas,10.0,Real Oviedo,Delantero,109
lonut Radu,24.0,Celta,Portero,196
Isaac DL,8.0,Sevilla,Delantero,61
Isco,10.0,Betis,Mediocampista,10
Isi,11.0,Rayo,Delantero,126
Iván,2.0,Betis,Mediocampista,1
Iván Martín,10.0,Girona,Mediocampista,115
Iván Villar,1.0,Celta,Portero,0
Izei,0.25,Alavés,Mediocampista,0
Izeta D,3.0,Athletic,Delantero,16
Iñaki Peña,20.0,Elche,Portero,102
Iñaki Williams DE,10.0,Athletic,Delantero,81
J. Benito,0.3,Getafe,Portero,0
J. Boñar,0.35,Atlético,Defensa,0
J. Gaitán,0.25,Villarreal,Mediocampista,0
J. Ives Valou,1.0,Villarreal,Defensa,0
J. M. Giménez,15.0,Atlético,Defensa,87
J Mojica,9.0,Mallorca,Defensa,96
J. Musso,10.0,Atlético,Portero,19
J. Vertrouwd,3.0,Rayo,Defensa,6
J. Vázquez,6.0,Valencia,Defensa,37
Jan Salas,3.0,Mallorca,Mediocampista,4
Jan Virgili,12.0,Mallorca,Delantero,103
Jandro,1.0,Mallorca,Mediocampista,0
Jano,3.0,Atlético,Mediocampista,2
Januzaj,4.0,Sevilla,Mediocampista,24
Jauregizar,10.0,Athletic,Mediocampista,125
Javi Galán,10.0,Osasuna,Defensa,80
Javi Guerra,10.0,Valencia,Mediocampista,102
Javi Llabrés,3.0,Mallorca,Delantero,23
Javi López,8.0,Real Oviedo,Defensa,49
Javi Muñoz,5.0,Getafe,Mediocampista,31
Javi Navarro,0.3,Real Madrid,Portero,0
Javi Rodríguez,10.0,Celta,Defensa,97
Javi Rueda,10.0,Celta,Defensa,105
Javi Serrano,1.0,Atlético,Mediocampista,0
Jeremy Toljan,9.0,Levante,Defensa,84
Joan García,33.0,Barcelona,Portero,192
Joan Martínez,0.4,Real Madrid,Defensa,0
Joan Ruiz,1.0,Levante,Mediocampista,0
Joel Roca,8.0,Girona,Delantero,67
Jofre,2.0,Barcelona,Defensa,3
Jofre,7.0,Espanyol,Delantero,54
John C.,5.0,Elche,Defensa,31
Johnny,7.0,Atlético,Mediocampista,42
Jon De Luis,1.0,Athletic,Defensa,0
Jon Garcia,0.4,Osasuna,Mediocampista,0
Jon Martin,10.0,Real Sociedad,Defensa,62
Jonny Otto,9.0,Alavés,Defensa,87
Jordán,2.0,Sevilla,Mediocampista,3
Josan,6.0,Elche,Mediocampista,55
Joselu,3.0,Getafe,Delantero,3
Juan Carlos,1.0,Girona,Portero,0
Juan Cruz,6.0,Osasuna,Defensa,39
Juan Hernández,1.0,Barcelona,Mediocampista,0
Juan Iglesias,10.0,Getafe,Defensa,117
Juanlu,10.0,Sevilla,Mediocampista,90
Juanmi,4.0,Getafe,Delantero,18
Juanpe Gil,1.0,Rayo,Portero,0
Julio Díaz,8.0,Atlético,Defensa,7
Julián Alvarez,20.0,Atlético,Delantero,179
Junior,7.0,Betis,Defensa,31
Júnior R.,24.0,Villarreal,Portero,177
K. Tunde,7.0,Levante,Mediocampista,28
Kalumba Jr,3.0,Mallorca,Delantero,2
