Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
Kike Salas,Kike Salas,20387,2025/26,32,Sevilla,Defensa,12.0,24,ES,90%,Sano,20,1,0,0,1,0,1.2,98,4.9,1,7,2
Koke,Koke,20383,2025/26,32,Atlético,Mediocampista,11.0,34,ES,70%,Sano,28,2,2,0,5,0,1.5,133,4.8,0,0,0
Koski,Koski,20384,2025/26,32,Alavés,Defensa,3.0,24,FI,0%,Sano,2,0,0,0,0,0,-1,3,1.5,0,0,0
Koundé,Kounde,20386,2025/26,32,Barcelona,Defensa,13.0,27,FR,60%,Sano,27,1,3,0,4,0,1,137,5.1,7,0,3
Krapyvtsov,Krapyvtsov,20391,2025/26,32,Girona,Portero,3.0,20,UA,0%,Sano,2,0,0,0,0,0,-1,3,1.5,0,0,0
Kubo,Kubo,20388,2025/26,32,Real Sociedad,Mediocampista,15.0,24,JP,50%,Sano,20,2,4,0,1,0,1.6,114,5.7,3,7,0
Kumbulla,Kumbulla,20384,2025/26,32,Mallorca,Defensa,4.0,26,AL,0%,Lesionado/Duda,8,0,0,0,1,0,1,10,1.3,0,1,0
L. Ilic,Ilic,20390,2025/26,32,Real Oviedo,Mediocampista,6.0,26,RS,0%,Lesionado/Duda,18,1,0,0,4,1,-1,39,2.2,0,0,0
Lago,Yoel Lago,20392,2025/26,32,Celta,Defensa,4.0,22,ES,50%,Sano,6,0,0,0,3,0,0.5,11,1.8,-1,0,2
Laporte,Laporte,20383,2025/26,32,Athletic,Defensa,10.0,31,ES,50%,Lesionado/Duda,21,0,1,0,2,0,1.2,96,4.6,8,1,1
Lass,Lass,20391,2025/26,32,Girona,Mediocampista,2.0,22,GN,0%,Sano,5,0,0,0,0,1,-1,0,0,0,0,0
Lato,Toni Lato,20384,2025/26,32,Mallorca,Defensa,5.0,28,ES,30%,Sano,9,0,1,0,3,0,-1,19,2.1,0,0,0
Le Normand,Le Normand,20383,2025/26,32,Atlético,Defensa,10.0,29,ES,60%,Sano,23,1,1,0,3,0,1.2,99,4.3,6,0,3
Lejeune,Lejeune,20388,2025/26,32,Rayo,Defensa,19.0,34,FR,90%,Sano,31,0,1,0,5,0,1.5,192,6.2,0,3,12
Lekue,I. Lekue,20383,2025/26,32,Athletic,Defensa,5.0,32,ES,10%,Sano,10,0,0,0,2,2,0,15,1.5,0,0,0
Lemar,Lemar,20391,2025/26,32,Girona,Mediocampista,9.0,30,FR,50%,Sano,22,3,1,0,2,0,1.6,99,4.5,3,9,2
Lenglet,Lenglet,20383,2025/26,32,Atlético,Defensa,9.0,30,FR,50%,Sano,14,0,1,0,6,1,1,68,4.9,3,0,7
Leo Román,Leo Román,20384,2025/26,32,Mallorca,Portero,12.0,25,ES,95%,Sano,27,0,0,1,4,0,2.1,133,4.9,6,12,4
Letácek,Letacek,20386,2025/26,32,Getafe,Portero,1.0,27,CZ,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Lewandowski,Lewandowski,20386,2025/26,32,Barcelona,Delantero,10.0,37,PL,50%,Sano,25,12,1,0,2,0,2,132,5.3,0,0,7
Liso,A. Liso,20386,2025/26,32,Getafe,Delantero,9.0,21,ES,40%,Sano,26,3,0,0,5,1,1.1,78,3,2,4,5
Llabrés,Javi Llabrés,20384,2025/26,32,Mallorca,Delantero,3.0,23,ES,10%,Sano,15,0,0,0,0,0,1,25,1.7,2,0,0
Lo Celso,Lo Celso,20389,2025/26,32,Betis,Mediocampista,10.0,30,AR,50%,Sano,19,2,2,0,4,0,0.7,97,5.1,0,4,0
Lookman,Lookman,20383,2025/26,32,Atlético,Delantero,6.0,28,NG,0%,Lesionado/Duda,8,2,0,0,1,0,0.5,30,3.8,0,2,0
Losada,Iker Losada,20385,2025/26,32,Levante,Delantero,7.0,24,ES,30%,Sano,18,3,1,0,1,0,1,64,3.6,0,0,1
Lozano,Pol Lozano,20385,2025/26,32,Espanyol,Mediocampista,9.0,26,ES,50%,Sano,29,2,1,0,9,0,1,91,3.1,1,7,6
Luis Milla,L. Milla,20386,2025/26,32,Getafe,Mediocampista,24.0,31,ES,95%,Sano,31,0,9,0,4,1,1.5,219,7.1,5,3,10
Luis Vázquez,Luis Vázquez,20386,2025/26,32,Getafe,Delantero,10.0,25,AR,90%,Sano,12,3,0,0,1,0,1.4,61,5.1,4,0,11
Luiz Felipe,Luiz Felipe,20388,2025/26,32,Rayo,Defensa,6.0,29,IT,0%,Lesionado/Duda,10,0,0,0,1,0,1.5,36,3.6,0,0,10
Luiz Junior,Júnior R.,20392,2025/26,32,Villarreal,Portero,24.0,25,BR,70%,Sano,28,0,0,1,3,0,1.6,200,7.1,0,10,6
Lunin,Lunin,20389,2025/26,32,Real Madrid,Portero,7.0,27,UA,95%,Sano,4,0,0,0,0,1,1.2,21,5.3,8,5,2
