Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,29,20362,Real Sociedad,Villarreal,0,Oyarzabal,Oyarzabal,Mikel Oyarzabal,Delantero,28,ES,24.0,95%,Sano,1.5,25.0,176,7.0,7,7,4,12.0,3.0,0.0,2.0,0.0,82,6.0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0
2025/26,29,20362,Real Sociedad,Villarreal,0,Aritz,Aritz,Aritz Elustondo,Defensa,31,ES,4.0,30%,Sano,-1.0,9.0,18,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,22,6.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,29,20362,Real Sociedad,Villarreal,0,Caleta-Car,Caleta-Car,Duje Ćaleta-Car,Defensa,29,HR,10.0,50%,Sano,1.8,19.0,79,4.2,7,4,9,1.0,0.0,0.0,4.0,1.0,36,7.1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,3,2
2025/26,29,20362,Real Sociedad,Villarreal,0,Sucic,Sucic,Luka Sučić,Mediocampista,23,HR,6.0,40%,Sano,1.2,13.0,43,3.3,2,8,1,1.0,1.0,0.0,1.0,0.0,45,7.9,1,0,0,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,12,4
2025/26,29,20362,Real Sociedad,Villarreal,0,Zakharyan,Zakharyan,Arsen Zakharyan,Mediocampista,22,RU,4.0,30%,Sano,1.0,15.0,26,1.7,0,0,5,0.0,0.0,0.0,1.0,0.0,8,6.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,29,20362,Real Sociedad,Villarreal,0,Óskarsson,Oskarsson,Orri Steinn Óskarsson,Delantero,21,IS,5.0,15%,Sano,1.0,11.0,39,3.5,0,0,0,4.0,0.0,0.0,2.0,0.0,22,6.4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
2025/26,29,20356,Elche,Mallorca,1,Dituro,M. Dituro,Matías Dituro,Portero,38,AR,12.0,60%,Sano,1.6,12.0,73,6.1,1,5,5,0.0,0.0,0.0,1.0,0.0,90,7.4,0,0,0,0,0,0,12,15,3,3,0,0,0,0,0,0,0,0,7,3
2025/26,29,20356,Elche,Mallorca,1,Bigas,R.P. Bigas,Pedro Bigas,Defensa,35,ES,10.0,50%,Sano,1.2,20.0,89,4.5,1,0,2,0.0,2.0,0.0,3.0,0.0,90,6.2,0,0,0,1,0,1,4,10,5,0,0,0,1,0,0,0,0,0,3,2
2025/26,29,20356,Elche,Mallorca,1,Chust,V. Chust,Víctor Chust,Defensa,26,ES,9.0,70%,Sano,1.0,22.0,60,2.7,-3,3,3,0.0,0.0,0.0,7.0,1.0,90,7.2,0,0,0,0,0,0,9,10,8,0,0,0,0,0,0,0,0,0,4,1
2025/26,29,20356,Elche,Mallorca,1,Affengruber,Affengruber,David Affengruber,Defensa,25,AT,10.0,80%,Sano,1.3,26.0,103,4.0,-1,4,4,0.0,0.0,0.0,6.0,1.0,90,7.5,0,0,0,0,0,0,2,14,4,0,0,0,0,0,0,0,0,0,3,1
2025/26,29,20356,Elche,Mallorca,1,Diangana,Grady Diangana,Grady Diangana,Delantero,27,CD,6.0,50%,Sano,0.8,16.0,36,2.3,2,1,2,1.0,0.0,0.0,2.0,0.0,64,6.3,0,0,1,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,3,1
2025/26,29,20356,Elche,Mallorca,1,Tete Morente,T. Morente,Tete Morente,Delantero,29,ES,6.0,30%,Sano,1.0,3.0,9,3.0,0,0,4,0.0,0.0,0.0,1.0,0.0,90,7.9,1,0,2,1,0,0,6,21,3,0,0,0,0,0,0,0,0,0,12,4
2025/26,29,20356,Elche,Mallorca,1,Febas,Febas,Aleix Febas,Mediocampista,30,ES,13.0,80%,Sano,1.5,27.0,137,5.1,4,2,5,2.0,1.0,0.0,7.0,0.0,90,7.7,0,0,1,0,0,0,3,10,1,0,0,0,0,0,0,0,0,0,4,2
