Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
Bakambu,Bakambu,20329,2025/26,26,Betis,Delantero,6.0,34,CD,50%,Sano,11,3,0,0,0,0,1.5,42,3.8,10,9,5
Balde,Álex Balde,20323,2025/26,26,Barcelona,Defensa,11.0,22,ES,50%,Sano,20,0,2,0,2,0,1.4,93,4.7,0,1,9
Balliu,Balliu,20328,2025/26,26,Rayo,Defensa,3.0,34,AL,10%,Sano,9,0,0,0,2,0,-1,10,1.1,0,0,0
Bardghji,Bardghji,20323,2025/26,26,Barcelona,Delantero,6.0,20,SE,15%,Sano,14,1,1,0,0,0,1,45,3.2,2,2,2
Barrenetxea,Barrenetxea,20327,2025/26,26,Real Sociedad,Mediocampista,11.0,24,ES,30%,Sano,19,3,3,0,2,0,-1,105,5.5,0,0,0
Barrios,Barrios,20331,2025/26,26,Atlético,Mediocampista,17.0,22,ES,0%,Lesionado/Duda,21,1,1,0,0,0,-1,123,5.9,0,0,0
Bartra,Bartra,20329,2025/26,26,Betis,Defensa,16.0,35,ES,50%,Sano,20,1,0,0,3,0,1,114,5.7,0,3,2
Batalla,A. Batalla,20328,2025/26,26,Rayo,Portero,18.0,29,AR,95%,Sano,24,0,0,0,4,0,1.7,145,6,5,10,2
Bellerín,Bellerín,20329,2025/26,26,Betis,Defensa,9.0,30,ES,10%,Sano,16,0,2,0,1,0,-1,68,4.3,0,0,0
Bellingham,Bellingham,20330,2025/26,26,Real Madrid,Mediocampista,25.0,22,EN,0%,Lesionado/Duda,18,4,3,0,1,0,-1,137,7.6,0,0,0
Beltrán,Fran Beltrán,20325,2025/26,26,Girona,Mediocampista,8.0,27,ES,50%,Sano,5,1,0,0,2,0,1.8,57,3.8,1,10,4
Beltrán,Lucas Beltrán,20332,2025/26,26,Valencia,Mediocampista,9.0,24,AR,40%,Lesionado/Duda,21,1,2,0,0,0,1.7,78,3.7,0,4,4
Benito,I. Benito,20332,2025/26,26,Osasuna,Delantero,5.0,23,ES,0%,Lesionado/Duda,5,1,0,0,1,0,-1,19,3.8,0,0,0
Berenguer,Berenguer,20328,2025/26,26,Athletic,Delantero,15.0,30,ES,20%,Sano,20,2,2,0,3,0,-1,107,5.4,0,0,0
Bergstrom,Bergstrom,20327,2025/26,26,Mallorca,Portero,10.0,23,FI,5%,Sano,5,0,0,0,1,0,-1,36,7.2,0,0,0
Bernal,Marc Bernal,20323,2025/26,26,Barcelona,Mediocampista,5.0,18,ES,60%,Sano,12,2,1,0,3,0,2.2,42,3.5,11,2,10
Bigas,R.P. Bigas,20324,2025/26,26,Elche,Defensa,12.0,35,ES,70%,Sano,18,0,2,0,3,0,1,86,4.8,-2,10,2
Birmancevic,Birma,20330,2025/26,26,Getafe,Delantero,4.0,27,RS,30%,Sano,1,0,0,0,0,0,1,2,2,2,0,0
Blanco,Blanco,20326,2025/26,26,Alavés,Mediocampista,10.0,25,ES,80%,Sano,23,1,1,0,5,0,1.4,103,4.5,5,3,3
Blind,Daley Blind,20325,2025/26,26,Girona,Defensa,11.0,35,NL,95%,Sano,23,0,0,0,1,0,1.5,106,4.6,4,7,5
Boiro,Adama,20328,2025/26,26,Athletic,Defensa,5.0,23,ES,10%,Sano,8,0,0,0,1,0,1.5,15,1.9,0,0,0
Borbas,T. Borbas,20331,2025/26,26,Real Oviedo,Delantero,2.0,23,UY,10%,Sano,4,0,0,0,1,0,1,4,1,1,0,0
Boselli,Boselli,20330,2025/26,26,Getafe,Defensa,3.0,22,UY,50%,Sano,3,0,0,0,0,0,1,4,1.3,0,2,0
Boyomo,Boyomo,20332,2025/26,26,Osasuna,Defensa,11.0,24,CM,0%,Lesionado/Duda,20,1,1,0,4,0,1,87,4.4,0,0,2
Boyé,Lucas Boyé,20326,2025/26,26,Alavés,Delantero,18.0,29,AR,95%,Sano,19,7,1,0,2,1,2,113,5.9,15,4,2
Brahim,Brahim,20330,2025/26,26,Real Madrid,Mediocampista,7.0,26,MA,25%,Sano,17,0,4,0,1,0,1.1,71,4.2,2,2,8
Brais,Brais Méndez,20327,2025/26,26,Real Sociedad,Mediocampista,12.0,29,ES,0%,Sano,22,5,2,0,5,1,1,108,4.9,2,0,0
Bretones,Abel Bretones,20332,2025/26,26,Osasuna,Defensa,9.0,25,ES,30%,Sano,21,1,0,0,5,1,1,65,3.1,1,2,1
Brugui,R. Brugué,20326,2025/26,26,Levante,Delantero,7.0,29,ES,0%,Lesionado/Duda,15,0,1,0,1,0,-1,42,2.8,0,0,0
Bryan Gil,Bryan Gil,20325,2025/26,26,Girona,Delantero,10.0,25,ES,70%,Lesionado/Duda,22,0,3,0,4,0,2.2,92,4.2,4,6,4
Buchanan,Buchanan,20323,2025/26,26,Villarreal,Mediocampista,11.0,27,CA,50%,Sano,23,5,1,0,7,0,1,109,4.7,1,0,1
Budimir,Budimir,20332,2025/26,26,Osasuna,Delantero,18.0,34,HR,95%,Sano,24,12,0,0,1,0,1.9,144,6,12,4,10
C. Álvarez,C. Alvarez,20326,2025/26,26,Levante,Mediocampista,10.0,22,ES,90%,Sano,25,3,1,0,3,0,1.4,100,4,0,3,2
