ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20321,2025/26,25,Local,Sergio Gómez,Desconocido,25,ES,70%,Sano,22,0,1,0,1,0,1.8,99,4.5,0,5,10
20321,2025/26,25,Local,Oyarzabal,Desconocido,28,ES,95%,Sano,21,10,3,0,2,0,1.6,154,7.3,6,9,5
20321,2025/26,25,Local,Caleta-Car,Desconocido,29,HR,70%,Sano,15,0,0,0,4,1,1,49,3.3,0,5,0
20321,2025/26,25,Local,Brais,Desconocido,29,ES,50%,Sano,21,5,2,0,4,1,0.5,106,5,0,0,-2
20321,2025/26,25,Local,Zubeldia,Desconocido,28,ES,50%,Sano,19,0,1,0,7,0,1.3,76,4,-2,5,3
20321,2025/26,25,Local,Herrera,Desconocido,28,VE,40%,Sano,4,0,0,0,1,0,1.1,7,1.2,2,2,0
20321,2025/26,25,Local,Aihen,Desconocido,28,ES,40%,Sano,16,0,0,0,1,0,1,29,1.8,-3,0,2
20321,2025/26,25,Local,Barrenetxea,Desconocido,24,ES,30%,Lesionado/Duda,19,3,3,0,2,0,-1,105,5.5,0,0,0
20321,2025/26,25,Local,Aritz,Desconocido,31,ES,20%,Sano,8,0,0,0,0,0,-1,16,2,0,0,0
20321,2025/26,25,Local,Wesley,Desconocido,20,BR,20%,Sano,2,0,0,0,0,0,0.3,0,0,0,0,
20321,2025/26,25,Local,Óskarsson,Desconocido,21,IS,15%,Sano,8,2,0,0,0,0,1.2,25,3.1,1,7,2
20321,2025/26,25,Local,Odriozola,Desconocido,30,ES,10%,Sano,4,1,0,0,0,0,1.5,20,5,0,3,0
20321,2025/26,25,Local,Fraga,Desconocido,22,ES,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20321,2025/26,25,Local,Karrikaburu,Desconocido,23,ES,0%,Sano,6,0,0,0,0,0,-1,9,1.5,0,0,0
20321,2025/26,25,Local,Zakharyan,Desconocido,22,RU,0%,Lesionado/Duda,12,0,0,0,1,0,-1,19,1.6,0,0,0
20321,2025/26,25,Local,Marrero,Desconocido,24,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20321,2025/26,25,Local,Sucic,Desconocido,23,HR,0%,Lesionado/Duda,10,1,0,0,1,0,1.3,32,3.2,0,8,4
20321,2025/26,25,Local,Kubo,Desconocido,24,JP,0%,Lesionado/Duda,18,2,3,0,0,0,-1,104,5.8,0,0,0
20321,2025/26,25,Visitante,Viñas,Desconocido,27,UY,80%,Sano,19,3,1,0,4,3,1.4,82,4.3,7,5,1
20321,2025/26,25,Visitante,Aarón,Portero,30,ES,95%,Sano,23,0,0,2,2,0,1.8,172,7.5,2,7,4
20321,2025/26,25,Visitante,Nacho Vidal,Desconocido,31,ES,80%,Sano,15,0,0,0,2,0,1,52,3.5,2,6,3
20321,2025/26,25,Visitante,Bailly,Desconocido,31,CI,70%,Sano,6,0,0,0,1,0,1,24,4,6,0,0
20321,2025/26,25,Visitante,Carmo,Desconocido,26,AO,90%,Sano,17,1,0,0,8,1,1.2,79,4.6,1,8,2
20321,2025/26,25,Visitante,Javi López,Desconocido,23,ES,60%,Sano,11,0,0,0,0,0,1.5,28,2.5,0,7,0
20321,2025/26,25,Visitante,Fonseca,Desconocido,27,UY,70%,Sano,6,0,0,0,2,0,1,2,0.3,1,1,1
20321,2025/26,25,Visitante,Sibo,Desconocido,27,GH,90%,Sano,14,0,0,0,1,0,1.1,40,2.9,4,5,3
20321,2025/26,25,Visitante,Hassan,Desconocido,24,FR,50%,Sano,22,0,2,0,1,0,1.3,84,3.8,3,5,3
20321,2025/26,25,Visitante,Reina,Desconocido,28,ES,80%,Sano,22,2,0,0,4,1,1.5,74,3.4,3,6,1
20321,2025/26,25,Visitante,Chaira,Desconocido,25,MA,90%,Sano,21,3,1,0,1,1,1.8,94,4.5,7,11,4
20321,2025/26,25,Visitante,Thiago,Desconocido,21,AR,50%,Sano,2,0,1,0,1,0,1.6,7,3.5,-1,8,0
20321,2025/26,25,Visitante,Calvo,Desconocido,31,ES,40%,Sano,9,0,0,0,3,0,-1,36,4,0,0,0
20321,2025/26,25,Visitante,Dendoncker,Desconocido,30,BE,40%,Sano,18,1,0,0,2,0,1,61,3.4,0,2,0
20321,2025/26,25,Visitante,Alhassane,Desconocido,24,NE,40%,Sano,19,0,0,0,1,0,-1,57,3,0,0,0
20321,2025/26,25,Visitante,Cazorla,Desconocido,41,ES,20%,Sano,14,0,0,0,0,1,1.6,38,2.7,2,2,2
20321,2025/26,25,Visitante,Ahijado,Desconocido,31,ES,20%,Sano,13,0,1,0,2,0,1,41,3.2,2,2,3
20321,2025/26,25,Visitante,Forés,Desconocido,24,ES,10%,Sano,13,0,1,0,0,0,1,26,2,2,0,0
20321,2025/26,25,Visitante,L. Ilic,Desconocido,26,RS,10%,Lesionado/Duda,14,1,0,0,4,1,-1,27,1.9,0,0,0
20321,2025/26,25,Visitante,Borbas,Desconocido,23,UY,10%,Sano,3,0,0,0,1,0,-1,3,1,0,0,1
20321,2025/26,25,Visitante,Moldovan,Desconocido,28,RO,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20321,2025/26,25,Visitante,Ejaria,Desconocido,28,EN,0%,Lesionado/Duda,7,0,0,0,1,0,-1,15,2.1,0,0,0
20321,2025/26,25,Visitante,Costas,Desconocido,30,ES,0%,Lesionado/Duda,17,0,0,0,2,0,1.6,80,4.7,0,8,-1
20321,2025/26,25,Visitante,Colombatto,Desconocido,29,AR,0%,Sano,19,0,1,0,5,0,1.1,78,4.1,3,9,2
20320,2025/26,25,Local,Bakambu,Desconocido,34,CD,70%,Sano,10,2,0,0,0,0,1.6,32,3.2,9,5,0
20320,2025/26,25,Local,Natan,Desconocido,25,BR,80%,Sano,22,0,0,0,5,0,2,126,5.7,6,8,0
20320,2025/26,25,Local,Fidalgo,Desconocido,28,ES,70%,Sano,2,0,0,0,0,0,2,9,4.5,4,5,0
20320,2025/26,25,Local,Antony,Desconocido,25,BR,80%,Sano,19,6,5,0,1,1,1.7,147,7.7,12,10,6
20320,2025/26,25,Local,D. Llorente,Desconocido,32,ES,70%,Sano,7,1,0,0,1,0,1.5,36,5.1,2,11,4
20320,2025/26,25,Local,Fornals,Desconocido,29,ES,90%,Sano,24,6,4,0,1,0,1.8,183,7.6,9,6,9
20320,2025/26,25,Local,Marc Roca,Desconocido,29,ES,90%,Sano,19,0,1,0,1,0,2.1,86,4.5,6,7,4
20320,2025/26,25,Local,Abde,Desconocido,24,MA,90%,Sano,15,5,4,0,2,0,2,119,7.9,10,10,5
20320,2025/26,25,Local,Valles,Portero,28,ES,70%,Sano,16,0,0,1,1,0,1.6,113,7.1,4,12,13
20320,2025/26,25,Local,Ruibal,Desconocido,29,ES,80%,Sano,19,4,1,0,3,0,1.2,95,5,4,5,4
