ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Precio_Fantastica,Puntos_PFSY
20314,2025/26,25,Atlético,Hancko,Desconocido,28,SK,50%,Sano,23.0,0.0,2.0,0.0,0.0,0.0,1.3,116,5.0,0.0,4,4.0,13.0,116.0
20314,2025/26,25,Atlético,Vargas,Desconocido,20,MX,50%,Sano,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2.0,2.0,2,0.0,,
20314,2025/26,25,Atlético,Lookman,Desconocido,28,NG,50%,Sano,2.0,0.0,0.0,0.0,1.0,0.0,0.7,4,2.0,2.0,2,0.0,,
20314,2025/26,25,Atlético,Lenglet,Desconocido,30,FR,50%,Sano,11.0,0.0,0.0,0.0,4.0,1.0,0.0,48,4.4,3.0,0,2.0,9.0,48.0
20314,2025/26,25,Atlético,Molina,Desconocido,27,AR,50%,Sano,16.0,0.0,1.0,0.0,1.0,0.0,0.8,54,3.4,4.0,0,9.0,7.0,54.0
20314,2025/26,25,Atlético,Pubill,Desconocido,22,ES,50%,Sano,10.0,0.0,1.0,0.0,1.0,0.0,1.0,68,6.8,0.0,0,2.0,11.0,68.0
20314,2025/26,25,Atlético,Ruggeri,Desconocido,23,IT,50%,Sano,17.0,0.0,0.0,0.0,3.0,0.0,0.3,78,4.6,0.0,0,9.0,10.0,78.0
20314,2025/26,25,Atlético,Alvarez,Desconocido,26,AR,40%,Sano,24.0,7.0,3.0,0.0,2.0,0.0,0.0,161,6.7,2.0,2,5.0,21.0,161.0
20314,2025/26,25,Atlético,Koke,Desconocido,34,ES,40%,Sano,22.0,2.0,2.0,0.0,4.0,0.0,0.8,113,5.1,0.0,7,3.0,14.0,113.0
20314,2025/26,25,Atlético,Griezmann,Desconocido,34,FR,40%,Sano,21.0,6.0,0.0,0.0,0.0,0.0,1.0,101,4.8,0.0,6,0.0,9.0,101.0
20314,2025/26,25,Atlético,Barrios,Desconocido,22,ES,10%,Lesionado/Duda,21.0,1.0,1.0,0.0,0.0,0.0,1.0,123,5.9,0.0,0,2.0,17.0,123.0
20314,2025/26,25,Atlético,Musso,Desconocido,31,AR,5%,Sano,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,8,8.0,0.0,0,0.0,9.0,8.0
20314,2025/26,25,Atlético,Mendoza,Desconocido,20,ES,0%,Sano,2.0,0.0,0.0,0.0,1.0,0.0,0.7,51,2.8,-1.0,2,3.0,8.0,51.0
20314,2025/26,25,Atlético,González,Desconocido,27,AR,0%,Lesionado/Duda,18.0,1.0,0.0,0.0,3.0,0.0,0.4,82,4.6,2.0,0,7.0,10.0,82.0
20315,2025/26,25,Barcelona,Fermín,Desconocido,22,ES,80%,Sano,18.0,4.0,5.0,0.0,2.0,0.0,1.3,125,6.9,1.0,12,5.0,16.0,125.0
20315,2025/26,25,Barcelona,Olmo,Desconocido,27,ES,60%,Sano,19.0,6.0,6.0,0.0,0.0,0.0,1.6,149,7.8,9.0,16,8.0,23.0,149.0
20315,2025/26,25,Barcelona,Koundé,Desconocido,27,FR,60%,Sano,23.0,1.0,2.0,0.0,4.0,0.0,1.1,105,4.6,4.0,9,5.0,11.0,105.0
20315,2025/26,25,Barcelona,Balde,Desconocido,22,ES,60%,Sano,20.0,0.0,2.0,0.0,2.0,0.0,1.5,93,4.7,1.0,9,5.0,12.0,93.0
20315,2025/26,25,Barcelona,Eric García,Desconocido,25,ES,70%,Lesionado/Duda,24.0,1.0,1.0,0.0,3.0,0.0,1.8,126,5.3,3.0,9,5.0,14.0,126.0
