Temporada,Jornada,Equipo_Nombre,Jugador_stats,Jugador_SofaScore,Stats_Reales,Puntos_Teoricos,Discrepancia
T25-26,J15,Real Betis,Valentín Gómez,Valentín Gómez,-3,5,-8
T25-26,J26,Villarreal,Luiz Júnior,Luiz Júnior,0,8,-8
T23-24,J3,Sevilla,Jesús Navas,Jesús Navas,1,9,-8
T24-25,J14,Osasuna,Sergio Herrera,Sergio Herrera,1,9,-8
T23-24,J9,Osasuna,Juan Cruz,Juan Cruz,-2,6,-8
T25-26,J12,Celta Vigo,Ionuț Radu,Ionuț Radu,1,9,-8
T24-25,J3,Getafe,Diego Rico,Diego Rico,3,11,-8
T23-24,J34,Barcelona,Marc-André Ter Stegen,Marc-André Ter Stegen,0,8,-8
T23-24,J3,Sevilla,Ivan Rakitić,Ivan Rakitić,4,12,-8
T23-24,J35,Sevilla,Kike Salas,Kike Salas,-1,7,-8
T25-26,J18,Valencia,Julen Agirrezabala,Julen Agirrezabala,0,8,-8
T23-24,J2,Osasuna,Johan Mojica,Johan Mojica,0,8,-8
T23-24,J5,Granada,Raúl Fernández,Raúl Fernández,0,8,-8
T23-24,J34,Barcelona,Jules Koundé,Jules Koundé,-4,4,-8
T23-24,J34,Barcelona,Ronald Araújo,Ronald Araújo,-3,5,-8
T25-26,J24,Real Sociedad,Álex Remiro,Álex Remiro,-1,7,-8
T24-25,J11,Real Madrid,Andriy Lunin,Andriy Lunin,0,8,-8
T23-24,J3,Valencia,José Luis Gayà,José Luis Gayà,1,9,-8
T24-25,J11,Real Sociedad,Brais Méndez,Brais Méndez,-1,7,-8
T23-24,J35,Granada,Augusto Batalla,Augusto Batalla,0,8,-8
T24-25,J11,Real Madrid,Éder Militão,Éder Militão,-3,5,-8
T23-24,J35,Granada,Ignasi Miquel,Ignasi Miquel,-2,6,-8
T23-24,J4,Granada,Raúl Fernández,Raúl Fernández,-2,6,-8
T25-26,J21,Levante UD,Carlos Álvarez,Carlos Álvarez,1,9,-8
T24-25,J6,Real Madrid,Kylian Mbappé,Kylian Mbappé,11,19,-8
T24-25,J3,Osasuna,Sergio Herrera,Sergio Herrera,-2,6,-8
T23-24,J37,Real Madrid,Andriy Lunin,Andriy Lunin,-1,7,-8
T24-25,J4,Real Valladolid,Lucas Rosa,Lucas Rosa,-3,5,-8
T25-26,J22,Sevilla,Gabriel Suazo,Gabriel Suazo,-3,5,-8
T24-25,J13,Osasuna,Sergio Herrera,Sergio Herrera,0,8,-8
T23-24,J35,Granada,Carlos Neva,Carlos Neva,-2,6,-8
T25-26,J13,Athletic Club,Yuri Berchiche,Yuri Berchiche,-1,7,-8
T23-24,J35,Granada,Kamil Piątkowski,Kamil Piątkowski,-1,7,-8
T25-26,J20,Osasuna,Alejandro Catena,Alejandro Catena,-1,7,-8
T23-24,J3,Real Betis,Rui Silva,Rui Silva,-3,5,-8
T25-26,J13,Real Madrid,Trent Alexander-Arnold,Trent Alexander-Arnold,2,10,-8
T24-25,J8,Deportivo Alavés,Antonio Sivera,Antonio Sivera,0,8,-8
T23-24,J7,Almería,Álex Centelles,Álex Centelles,0,8,-8
T25-26,J17,Getafe,David Soria,David Soria,1,9,-8
T24-25,J5,Girona FC,Daley Blind,Daley Blind,0,8,-8
T23-24,J4,Granada,Ignasi Miquel,Ignasi Miquel,-3,5,-8
T23-24,J33,Almería,Bruno Langa,Bruno Langa,0,8,-8
T24-25,J10,Deportivo Alavés,Abdelkabir Abqar,Abdelkabir Abqar,2,10,-8
T24-25,J5,Girona FC,Paulo Gazzaniga,Paulo Gazzaniga,1,9,-8
T24-25,J15,Celta Vigo,Óscar Mingueza,Óscar Mingueza,2,10,-8
T25-26,J23,Levante UD,Mathew Ryan,Mathew Ryan,1,9,-8
T23-24,J2,Sevilla,Marko Dmitrović,Marko Dmitrović,0,8,-8
T23-24,J2,Sevilla,Jesús Navas,Jesús Navas,-3,5,-8
T25-26,J15,Real Betis,Aitor Ruibal,Aitor Ruibal,1,9,-8
T23-24,J2,Sevilla,Kike Salas,Kike Salas,-1,7,-8
T25-26,J23,Levante UD,Jeremy Toljan,Jeremy Toljan,-2,6,-8
T24-25,J4,Sevilla,Valentín Barco,Valentín Barco,1,9,-8
T23-24,J4,Real Madrid,Toni Kroos,Toni Kroos,1,9,-8
T23-24,J6,Mallorca,Predrag Rajković,Predrag Rajković,0,8,-8
T23-24,J6,Mallorca,Jaume Costa,Jaume Costa,-3,5,-8
T23-24,J8,Almería,Sergio Akieme,Sergio Akieme,1,9,-8
T23-24,J4,Getafe,David Soria,David Soria,5,13,-8
T25-26,J25,Espanyol,Marko Dmitrović,Marko Dmitrović,1,9,-8
T23-24,J9,Celta Vigo,Óscar Mingueza,Óscar Mingueza,-2,6,-8
T23-24,J35,Villarreal,Jorge Cuenca,Jorge Cuenca,3,11,-8
T23-24,J35,Villarreal,Alejandro Baena,Alejandro Baena,5,13,-8
